algebra,9,16,5,7
arr-diff,3,1,1,0
arr-flatten,3,1,1,0
array-first,0,0,0,0
array-last,6,1,5,1
array-range,3,1,2,0
array.chunk,6,1,2,0
concat-stream,21,1,9,4
deep-bind,4,1,3,1
document-ready,3,1,2,0
file-size,5,1,2,0
fs-promise,9,0,2,4
get-value,6,1,4,1
group-array,13,1,11,6
has-key-deep,1,1,0,0
has-value,6,1,4,2
he,8,0,3,0
identity-function,1,1,0,0
in-array,1,1,0,0
is-empty-object,5,1,2,0
is-generator,2,2,0,0
is-number,4,1,2,0
is-promise,1,1,0,0
is-sorted,4,1,2,0
left-pad,1,1,0,0
missing-deep-keys,4,1,3,2
ndarray,18,1,10,2
node-du,10,1,7,3
node-glob,46,3,28,13
node-slug,5,1,2,1
node-stream-spigot,16,4,6,3
normalize-pkg,0,0,0,0
not-defined,4,1,2,0
once,9,2,4,1
pad-left-simple,4,1,2,0
pad-left,3,1,2,1
parse-next-json-value,3,1,2,1
periods,2,0,0,0
property-validator,8,1,2,6
rimraf,13,2,6,4
rtrim,1,1,0,0
schema-inspector,3,1,1,1
set-value,9,1,5,1
static-props,4,2,1,0
staticFiles,
syncthrough,10,1,6,4
through2-map,6,4,3,2
through2,12,3,5,2
time-stamp,3,1,2,0
unordered-array-remove,1,1,0,0
zipmap,10,1,3,0
